names,side,sex,burnt,months.buried,age,temperature,duration,mass
CEIXXI05F,R,F,no,73,73,0,0,98.32
CEIXXI05F900,R,F,yes,73,73,900,129,60.93
CEIXXI08F,R,F,no,73,83,0,0,39.07
CEIXXI08F700,R,F,yes,73,83,700,121,23.2
CEIXXI17M,R,M,no,72,85,0,0,107.16
CEIXXI17M900,R,M,yes,72,85,900,160,64.26
CEIXXI24F,R,F,no,73,80,0,0,112.52
CEIXXI24F800,R,F,yes,73,80,800,120,68.42
CEIXXI26F,R,F,no,74,90,0,0,60.72
CEIXXI26F900,R,F,yes,74,90,900,195,35.63
CEIXXI29M,L,M,no,74,74,0,0,124.49
CEIXXI29M800,L,M,yes,74,74,800,110,80.04
CEIXXI32F,R,F,no,74,81,0,0,53.53
CEIXXI32F800,R,F,yes,74,81,800,120,29.2
CEIXXI35M,R,M,no,71,75,0,0,112.98
CEIXXI35M900,R,M,yes,71,75,900,150,68.6
CEIXXI43M,R,M,no,72,70,0,0,96.9
CEIXXI43M800,R,M,yes,72,70,800,150,62.35
CEIXXI49F,L,F,no,76,85,0,0,56.98
CEIXXI49F850,L,F,yes,76,85,850,120,34.26
CEIXXI50F,R,F,no,72,89,0,0,61.97
CEIXXI50F900,R,F,yes,72,89,900,120,35.79
CEIXXI51M,R,M,no,73,70,0,0,104.01
CEIXXI51M900,R,M,yes,73,70,900,126,61.47
CEIXXI53F,R,F,no,73,77,0,0,68.85
CEIXXI53F800,R,F,yes,73,77,800,172,38.9
CEIXXI57M,R,M,no,84,85,0,0,102.51
CEIXXI57M900,R,M,yes,84,85,900,105,61.28
CEIXXI64M,R,M,no,73,87,0,0,108.32
CEIXXI64M800,R,M,yes,73,87,800,75,67.43
CEIXXI65F,R,F,no,72,81,0,0,67.92
CEIXXI65F900,R,F,yes,72,81,900,116,41.1
CEIXXI79M,R,M,no,NA,74,0,0,92.95
CEIXXI79M900,R,M,yes,NA,74,900,122,57.39
CEIXXI86M,L,M,no,NA,78,0,0,92.57
CEIXXI86M1000,L,M,yes,NA,78,1000,188,57.02
CEIXXI97F,R,F,no,NA,88,0,0,49.2
CEIXXI97F1050,R,F,yes,NA,88,1050,170,29.79